Years/Countries,Arianespace,Boeing,CASC,General Dynamics,ISRO,Martin Marietta,NASA,RVSN USSR,SpaceX,ULA,US Air Force,VKS RF
1957,0,0,0,1,0,0,1,1,0,0,1,0
1958,0,0,0,1,0,0,0,0.2,0,0,0.5,0
1959,0,0,0,0,0,0,0,0.5,0,0,0.5,0
1960,0,0,0,0.2,0,0,0.25,0.333333333,0,0,0.666666667,0
1961,0,0,0,0.25,0,0,0.666666667,0.555555556,0,0,0.739130435,0
1962,0,0,0,0.714285714,0,0,0.8,0.681818182,0,0,0.87804878,0
1963,0,0,0,0.888888889,0,0,1,0.666666667,0,0,0.5,0
1964,0,0,0,0.777777778,0,0,1,0.805555556,0,0,0.5,0
1965,0,0,0,0.736842105,0,0.333333333,1,0.886792453,0,0,1,0
1966,0,0,0,0.878787879,0,0.666666667,0.75,0.784313725,0,0,1,0
1967,0,0,0,0.857142857,0,1,0.5,0.837837838,0,0,0.714285714,0
1968,0,0,0,0.75,0,1,0.75,0.898734177,0,0,1,0
1969,0,0,0,1,0,1,1,0.817073171,0,0,1,0
1970,0,0,1,0.666666667,0,0.5,1,0.896551724,0,0,1,0
1971,0,0,1,0.666666667,0,1,1,0.892473118,0,0,1,0
1972,0,0,1,1,0,0.8,1,0.898734177,0,0,0.75,0
1973,0,0,0,1,0,1,1,0.952380952,0,0,0.666666667,0
1974,0,0,0,1,0,0.8,1,0.939759036,0,0,1,0
1975,0,0,1,0.6,0,0.857142857,1,0.966292135,0,0,1,0
1976,0,0,0.666666667,1,0,1,1,0.968421053,0,0,1,0
1977,0,0,1,0.857142857,0,1,1,0.969072165,0,0,1,0
1978,0,0,1,1,0,0.857142857,1,0.971830986,0,0,1,0
1979,0,0,0,1,0,1,1,1,0,0,1,0
1980,0,0,1,0.75,1,1,1,0.925,0,0,1,0
1981,0,0,1,0.666666667,0,1,1,0.941176471,0,0,1,0
1982,0,0,1,1,1,1,1,0.924528302,0,0,1,0
1983,0,0,1,1,1,1,1,0.97826087,0,0,1,0
1984,1,0,0.666666667,0.8,1,1,1,0.976190476,0,0,1,0
1985,0.75,0,1,1,1,0.5,1,0.921568627,0,0,0,0
1986,0.666666667,0,1,1,1,0,0.5,0.93877551,0,0,0,0
1987,1,0,1,0.666666667,0,1,1,0.976190476,0,0,0,0
1988,1,0,1,1,0,0.666666667,1,1,0,0,0,0
1989,1,0,1,1,0,1,1,0.961538462,0,0,0,0
1990,0.833333333,1,1,1,1,0.8,1,0.945945946,0,0,0,0
1991,1,1,0,0.75,1,1,1,0.928571429,0,0,0,0
1992,1,1,0.75,0.8,1,1,1,0.888888889,0,0,0,1
1993,1,1,1,0.833333333,0,0,1,1,0,0,0,1
1994,0.75,1,0.8,1,1,1,1,1,0,0,0,0.952380952
1995,1,0.666666667,0.666666667,1,1,0,1,1,0,0,0,0.916666667
1996,1,1,0.5,1,1,0,1,1,0,0,0,1
1997,1,0.909090909,1,0,0,0,1,1,0,0,0,0.857142857
1998,1,0.923076923,1,0,1,0,1,1,0,0,0,0.777777778
1999,1,0.909090909,1,0,1,0,1,0,0,0,0,1
2000,1,1,1,0,1,0,1,0,0,0,0,0.666666667
2001,0.875,1,1,0,0.5,0,1,0,0,0,0,1
2002,0.916666667,1,1,0,1,0,1,0,0,0,0,1
2003,1,1,1,0,1,0,0,0,0,0,0,1
2004,1,0.875,1,0,1,0,1,0,0,0,0,0.857142857
2005,1,1,1,0,1,0,1,0,0,0,0,0.8
2006,1,1,1,0,0,0,1,0,0,0,0,1
2007,1,0,1,0,0.666666667,0,1,0,0,0.923076923,0,1
2008,1,0,1,0,1,0,1,0,0.5,1,0,1
2009,1,0,1,0,1,0,1,0,1,1,0,1
2010,1,0,1,0,0.333333333,0,1,0,1,1,0,1
2011,1,0,1,0,1,0,1,0,1,1,0,0
2012,1,0,1,0,1,0,1,0,0.5,1,0,1
2013,1,0,1,0,1,0,1,0,1,1,0,0.714285714
2014,0.909090909,0,1,0,1,0,1,0,1,1,0,1
2015,1,0,1,0,1,0,1,0,0.857142857,1,0,0.666666667
2016,1,0,0.909090909,0,1,0,1,0,0.888888889,1,0,1
2017,1,0,0.875,0,0.8,0,1,0,1,1,0,1
2018,0.909090909,0,1,0,1,0,1,0,1,1,0,1
2019,0.888888889,0,0.962962963,0,1,0,1,0,1,1,0,1
2020,1,0,0.894736842,0,1,0,1,0,1,1,0,1
