Years,Missions,Cost,Success
1957,3,3,2
1958,28,28,6
1959,20,20,8
1960,39,39,19
1961,52,52,32
1962,82,82,65
1963,41,41,29
1964,60,156,48
1965,87,183,74
1966,101,236,81
1967,106,422,87
1968,103,465,92
1969,103,287,85
1970,107,108,93
1971,119,121,105
1972,99,101,89
1973,103,104,96
1974,98,98,90
1975,113,113,107
1976,113,113,108
1977,114,114,110
1978,97,97,94
1979,49,49,46
1980,55,55,49
1981,71,143,65
1982,67,202,62
1983,66,237,65
1984,69,276,66
1985,74,425,68
1986,62,161,56
1987,56,150,53
1988,59,227,57
1989,52,261,50
1990,80,389,76
1991,59,308,54
1992,62,443,59
1993,61,457,57
1994,64,629,58
1995,61,397,53
1996,60,525,56
1997,70,679,64
1998,68,653,61
1999,57,528,51
2000,57,644,53
2001,43,410,40
2002,49,597,47
2003,52,640,48
2004,40,550,37
2005,37,415,34
2006,49,871,46
2007,50,881,46
2008,47,848,44
2009,50,861,47
2010,37,812,34
2011,42,824,40
2012,38,623,34
2013,46,931,43
2014,53,1230,51
2015,52,1055,48
2016,90,2116,86
2017,92,2469,84
2018,117,3327,113
2019,109,2883,100
2020,63,1839,57
